ID,TITRE,PRIX,ARR,LINK,M2,PIECES
0,Amazing and Spacious apartment great location,800,"14 Rue Vivienne Arc de Triomphe, Paris",https://paris.craigslist.org/apa/d/amazing-and-spacious-apartment-great/6819136918.html,,2
1,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6819125523.html,58,
2,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6819125223.html,50,
3,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6819120383.html,,
4,Apartment studio near Plaisance in Paris,1150,14th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-plaisance-in-paris/6819119877.html,25,
5,Paris duplex apartment rental near Trocadéro,1950,16th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6819116108.html,67,
6,Private Garden Apartment in Marais,1550,"3rd, Marais- Montorgueil",https://paris.craigslist.org/apa/d/private-garden-apartment-in-marais/6819035527.html,30,1
7,30m2 furnished- beautiful one bedroom flat,1300,Paris 11th - Oberkampf,https://paris.craigslist.org/apa/d/30m2-furnished-beautiful-one-bedroom/6819035368.html,30,1
8,Elegant Studio apartment heart of Paris,400,5th arrondissements,https://paris.craigslist.org/apa/d/elegant-studio-apartment-heart-of-paris/6819014908.html,,1
9,Awosome*** 1 Bedroom Apartment,600,Rue Durantin & Rue des Abbesses,https://paris.craigslist.org/apa/d/awosome-1-bedroom-apartment/6819013765.html,,1
10,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6819017536.html,,
11,Paris apartment rental near Madeleine,3775,1st arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-madeleine/6819017219.html,100,
12,Appartement à Champ de Mars,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars/6819017121.html,37,
13,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6819017040.html,58,
14,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6819016928.html,95,
15,CENTRALLY LOCATED 2 BEDROOM,800,CITY,https://paris.craigslist.org/apa/d/centrally-located-2-bedroom/6812723647.html,,2
16,Studio apartment availbale at 1st Arrondissement,450,1st Arrondissement,https://paris.craigslist.org/apa/d/studio-apartment-availbale-at-1st/6819005263.html,,1
17,Fully furnished one bedroom apartment for rent in the 15th arrondissem,1450,15th district,https://paris.craigslist.org/apa/d/fully-furnished-one-bedroom-apartment/6819005212.html,39,1
18,Prime location! High quality and fully furnished one bedroom duplex,2240,Marais,https://paris.craigslist.org/apa/d/prime-location-high-quality-and-fully/6819004070.html,,1
