TITRE,PRIX,ARR,LINK,M2,PIECES
BEAUTIFUL & BRILLIANTLY FURNISHED 1-BEDROOM APARTMENT FOR RENT,€700,PARIS,https://paris.craigslist.org/apa/d/beautiful-brilliantly-furnished-1/6796362622.html,,1
"SUPERB, NEWLY & EXTREMELY FURNISHED 1-BEDROOM APARTMENT FOR RENT!!!",€700,PARIS,https://paris.craigslist.org/apa/d/superb-newly-extremely-furnished-1/6789822385.html,,1
Close BUS & Metro Studio-Apartment sleeps 2 to 5,€550,Rue Cambacérès,https://paris.craigslist.org/apa/d/close-bus-metro-studio-apartment-sleeps/6796344476.html,,1
Paris apartment rental near Invalides,€2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6796377923.html,58,
Apartment on Rue Commines,€1000,5th arrondissement,https://paris.craigslist.org/apa/d/apartment-on-rue-commines/6796371570.html,30,
Appartement à La Villette à Paris,€1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6796367772.html,35,
Charming studio near Boulainvilliers,€950,16th arrondissement,https://paris.craigslist.org/apa/d/charming-studio-near-boulainvilliers/6796367119.html,15,
Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6796366421.html,,
"2ème arrondissement, Studio rue de Richelieu",€900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6796365777.html,18,
"1BR, 50sqm, avenue du General Leclerc",€1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6796364714.html,50,
Close BUS & Metro Studio-Apartment sleeps 2 to 5,€550,Rue Cambacérès,https://paris.craigslist.org/apa/d/close-bus-metro-studio-apartment-sleeps/6796344664.html,,1
Short & Long Stay in Paris and Wifi,€500,Rue Rouelle,https://paris.craigslist.org/apa/d/short-long-stay-in-paris-and-wifi/6796337345.html,,1
Short & Long Stay in Paris and Wifi,€500,Rue Rouelle,https://paris.craigslist.org/apa/d/short-long-stay-in-paris-and-wifi/6796336752.html,,1
Fully furnished one bedroom apartment in a prime location,€1354,Marais,https://paris.craigslist.org/apa/d/fully-furnished-one-bedroom-apartment/6794562429.html,30,1
Fully furnished one bedroom apartment for rent,€1270,La fourche,https://paris.craigslist.org/apa/d/fully-furnished-one-bedroom-apartment/6794577757.html,35,1
Studio en mezzanine 18m² à 4min du métro Villiers-Paris8,€500,500€ PER MONTH,https://paris.craigslist.org/apa/d/studio-en-mezzanine-18m-4min-du-mtro/6776243939.html,18,1
"Studio 35m2 + Mezzanine, Rue de Lisbonne Paris8è",€505,505€ PER MONTH,https://paris.craigslist.org/apa/d/studio-35m2-mezzanine-rue-de-lisbonne/6787549258.html,35,1
Studio 48m2 à 9min de l' Uni. Panthéon-Sorbonne Paris1,€525,525€ PER MONTH,https://paris.craigslist.org/apa/d/studio-48m2-9min-de-uni-panthon/6787464194.html,48,1
