ID,TITRE,PRIX,ARR,LINK,M2,PIECES
47,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6818836962.html,30,1
48,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6818838836.html,30,1
49,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6818833536.html,43,1
50,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6818823539.html,30,1
52,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6818831018.html,13,1
53,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6818824771.html,13,1
69,Apartment** near^ the Paris center^^2 BR & 2 BATH***,720,paris,https://paris.craigslist.org/apa/d/apartment-near-the-paris-center2-br-2/6810705174.html,68,2
79,Studio en mezzanine 18m² à 4min du métro Villiers-Paris8,500,500€ PER MONTH,https://paris.craigslist.org/apa/d/studio-en-mezzanine-18m-4min-du-mtro/6799566604.html,18,1
80,"Studio 35m2 + Mezzanine, Rue de Lisbonne Paris8è",505,505€ PER MONTH,https://paris.craigslist.org/apa/d/studio-35m2-mezzanine-rue-de-lisbonne/6814831365.html,35,1
82,Studio 48m2 à 9min de l' Uni. Panthéon-Sorbonne Paris1,525,525€ PER MONTH,https://paris.craigslist.org/apa/d/studio-48m2-9min-de-uni-panthon/6815160098.html,48,1
91,"Joli T2 45m² à 6min "" Métro George V "" Paris 8è",585,585€ PER MONTH,https://paris.craigslist.org/apa/d/joli-t2-45m-6min-mtro-george-paris-8/6799538505.html,45,1
118,**Studio on Paris city ! Double Bedroom** For rent,600,paris,https://paris.craigslist.org/apa/d/studio-on-paris-city-double-bedroom-for/6797557270.html,50,1
133,Newly furnished one bedroom apartment in excellent location,735,paris 15,https://paris.craigslist.org/apa/d/newly-furnished-one-bedroom-apartment/6804141709.html,18,1
145,Studio like a hostel room + private bathroom & kitchenette,610,Mairie de Montreuil,https://paris.craigslist.org/apa/d/studio-like-hostel-room-private/6817053994.html,11,1
146,500 euro MONTHLY rent furnished studio close Paris 19 matro line 5,500,parc de la vilette,https://paris.craigslist.org/apa/d/500-euro-monthly-rent-furnished-studio/6816840857.html,20,1
186,570 euro /MO RENT furnished studio close PORTE DE LA VILETTE  metro 5,570,PARIS 19,https://paris.craigslist.org/apa/d/570-euro-mo-rent-furnished-studio-close/6816041262.html,20,1
214,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6815861705.html,43,1
215,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6815862422.html,27,1
216,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6815862137.html,13,1
217,Sunny apartment near Montmartre,45,"6, rue des Islettes",https://paris.craigslist.org/apa/d/sunny-apartment-near-montmartre/6815737965.html,28,1
218,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6815586941.html,27,1
220,580 euro MONTHLY RENT furnished  studio close PORTE DE LA VILETTE,580,paris-pantin,https://paris.craigslist.org/apa/d/580-euro-monthly-rent-furnished-studio/6815275479.html,18,1
227,Studio pour trois personnes,450,Rue Louise Michel,https://paris.craigslist.org/apa/d/studio-pour-trois-personnes/6815175017.html,30,1
234,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6815174875.html,30,1
236,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6815174889.html,15,1
237,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6815174927.html,43,1
238,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6815174949.html,13,1
242,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6807274387.html,13,1
243,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6807273795.html,27,1
244,Studio pour trois personnes,450,Rue Louise Michel,https://paris.craigslist.org/apa/d/studio-pour-trois-personnes/6800015935.html,30,1
245,Studio pour trois personnes,450,Rue Louise Michel,https://paris.craigslist.org/apa/d/studio-pour-trois-personnes/6800015930.html,30,1
246,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6792061919.html,70,1
247,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6807269705.html,15,1
248,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6795746681.html,13,1
249,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6792079106.html,30,1
250,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6799350537.html,30,1
251,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6795745170.html,13,1
252,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6792069505.html,15,1
254,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6799349059.html,70,1
255,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6799349125.html,70,1
256,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6792070108.html,15,1
261,580 euro MONTHLY RENT furnished  studio close PORTE DE LA VILETTE,580,Paris-Parc de la Vilette,https://paris.craigslist.org/apa/d/580-euro-monthly-rent-furnished-studio/6814529779.html,20,1
275,"Offert Charming Studio, Montmartre and Opera",480,rue de l'Agent Bailly 12 - Paris,https://paris.craigslist.org/apa/d/offert-charming-studio-montmartre-and/6793773210.html,28,1
310,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6799349696.html,30,1
311,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6792080069.html,30,1
312,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6799350468.html,30,1
313,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6811070302.html,27,1
314,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6811069801.html,27,1
344,Great One Bedroom Apartment Available for rent in Paris,550,Paris,https://paris.craigslist.org/apa/d/great-one-bedroom-apartment-available/6812765107.html,16,1
364,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6812582283.html,30,1
365,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6799350865.html,13,1
378,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6810416917.html,13,1
379,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6810416582.html,13,1
419,Furnished Studio in Central Paris  660€/month),660,Panthéon / Sorbonne / 5th District,https://paris.craigslist.org/apa/d/furnished-studio-in-central-paris-660/6811112081.html,11,1
438,FURNISHED STUDIO APARTMENT WITH BALCONY IN PARIS,660,paris,https://paris.craigslist.org/apa/d/furnished-studio-apartment-with-balcony/6810714574.html,57,1
494,Studio 48m2 à 9min de l' Uni. Panthéon-Sorbonne Paris1,525,525€ PER MONTH,https://paris.craigslist.org/apa/d/studio-48m2-9min-de-uni-panthon/6787464194.html,48,1
495,"Studio 35m2 + Mezzanine, Rue de Lisbonne Paris8è",505,505€ PER MONTH,https://paris.craigslist.org/apa/d/studio-35m2-mezzanine-rue-de-lisbonne/6787549258.html,35,1
553,Appartement t2 meublé 47m² à louer,600,cergy,https://paris.craigslist.org/apa/d/appartement-t2-meubl-47m-louer/6808115567.html,47,1
630,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6782699960.html,15,1
631,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782716110.html,27,1
650,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6787380333.html,13,1
698,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6804459849.html,13,1
699,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6804455573.html,13,1
700,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6804429708.html,13,1
701,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6804428816.html,13,1
783,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6803177441.html,27,1
784,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6803175156.html,27,1
785,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6803170272.html,43,1
786,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6803169346.html,43,1
819,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6802553358.html,30,1
820,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6802555240.html,15,1
